"Name","Live Bytes","Live Objects"
"java.lang.ref.ReferenceQueue","77,120 B (0%)","2,410 (0.1%)"
"double[]","76,736 B (0%)","346 (0%)"
"org.jdom.ImmutableSameTypeAttributeList","71,592 B (0%)","2,983 (0.1%)"
"com.intellij.openapi.editor.impl.RangeHighlighterImpl","71,280 B (0%)","810 (0%)"
"com.intellij.ui.components.TwoWayAnimator$MyAnimator","71,040 B (0%)","1,110 (0%)"
"com.intellij.ui.components.panels.NonOpaquePanel","70,920 B (0%)","197 (0%)"
"java.lang.invoke.DirectMethodHandle$Special","70,840 B (0%)","1,771 (0%)"
"org.jcodings.unicode.UnicodeEncoding$CodeList","69,912 B (0%)","2,913 (0.1%)"
"com.intellij.openapi.actionSystem.Presentation$$Lambda$554.0x0000000100672840","69,648 B (0%)","4,353 (0.1%)"
"org.codehaus.groovy.reflection.GeneratedMetaMethod$Proxy","69,384 B (0%)","1,239 (0%)"
"com.intellij.util.containers.SmartHashSet","69,312 B (0%)","1,444 (0%)"
"com.intellij.openapi.util.IconLoader$CachedImageIcon","67,872 B (0%)","1,212 (0%)"
"com.intellij.openapi.actionSystem.ActionStub","67,760 B (0%)","1,210 (0%)"
"sun.font.TrueTypeFont","67,536 B (0%)","402 (0%)"
"java.util.Vector","67,392 B (0%)","2,106 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync","66,144 B (0%)","1,378 (0%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","65,376 B (0%)","2,043 (0%)"
"com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl","62,920 B (0%)","1,573 (0%)"
"java.awt.Color","61,216 B (0%)","1,913 (0%)"
"java.util.HashSet","60,528 B (0%)","3,783 (0.1%)"
"java.awt.Font","59,760 B (0%)","830 (0%)"
"java.lang.invoke.MethodTypeForm","59,640 B (0%)","1,065 (0%)"
"java.awt.Dimension","58,608 B (0%)","2,442 (0.1%)"
"javax.swing.SizeRequirements","58,368 B (0%)","1,824 (0%)"
"org.apache.log4j.Logger","57,720 B (0%)","1,443 (0%)"
